sorter;filename;avg_complexity;mi;loc;lloc;sloc;comments;time
1;code1.py;1.71;58.43;108;79;62;1;0.03
2;code2.py;1.47;58.19;129;104;73;4;0.05
3;code3.py;2.11;43.07;63;59;53;0;0.02
4;code4.py;2.0;38.91;97;82;79;0;0.02
5;code5.py;2.5;41.21;73;62;62;0;0.02
6;code6.py;3.71;39.46;81;74;74;0;0.02
7;code7.py;2.56;41.08;83;69;72;0;0.03
8;code8.py;3.0;44.67;61;56;55;0;0.02
9;code9.py;3.38;39.88;75;67;67;0;0.02
10;code10.py;2.75;42.64;73;65;64;0;0.03
11;code11.py;3.0;42.14;75;65;64;0;0.02
12;code12.py;2.57;36.72;108;87;84;0;0.04
13;code13.py;3.5;37.48;108;84;84;0;0.04
14;code14.py;2.36;43.48;83;67;70;0;0.06
15;code15.py;2.36;43.48;84;67;71;0;0.02
16;code16.py;2.42;41.5;85;72;72;0;0.03
17;code17.py;1.75;36.96;123;94;93;0;0.03
18;code18.py;1.65;39.19;109;88;87;0;0.03
19;code19.py;1.36;64.0;76;49;51;4;0.03
20;code20.py;1.68;58.83;133;86;91;9;0.03
