No;filename;avg_complexity;mi;loc;lloc;sloc;comments;time
1;code1.py;2.58;56.83;123;88;79;3;0.02
2;code2.py;1.6;59.74;140;96;82;5;0.02
3;code3.py;2.57;41.26;73;70;64;0;0.01
4;code4.py;2.83;43.25;67;63;60;0;0.01
5;code5.py;3.83;37.26;89;80;80;0;0.01
6;code6.py;4.2;40.98;76;70;70;0;0.02
7;code7.py;13.0;45.94;56;48;48;0;0.0
8;code8.py;3.2;45.45;65;59;59;0;0.01
9;code9.py;18.0;42.65;59;52;52;0;0.0
10;code10.py;3.17;43.02;75;68;67;0;0.01
11;code11.py;3.17;43.08;74;65;64;0;0.01
12;code12.py;4.2;40.99;78;65;62;0;0.01
13;code13.py;5.2;45.79;95;74;74;1;0.01
14;code14.py;4.4;42.64;72;63;62;0;0.0
15;code15.py;4.4;42.64;72;63;62;0;0.02
16;code16.py;4.4;42.6;68;59;58;0;0.0
17;code17.py;1.95;40.28;130;106;106;1;0.02
18;code18.py;1.73;49.3;99;83;83;2;0.02
19;code19.py;1.21;65.5;70;49;48;4;0.01
20;code20.py;1.53;58.3;130;96;93;10;0.02
